OTU	domain	phylum	class	order	family	genus	species	SRR22993528	SRR22993529	SRR22993530	SRR22993531	SRR22993532	SRR22993533	SRR22993534	SRR22993535	SRR22993536	SRR22993537	SRR22993538	SRR22993539	SRR22993540	SRR22993541	SRR22993542	SRR22993543	SRR22993544	SRR22993545	SRR22993546	SRR22993547	SRR22993548	SRR22993549	SRR22993550	SRR22993551
75	ASV75	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Psychrobacillus	NA	0	729	0	0	56	42	0	0	0	64	69	0	0	139	0	0	0	0	49	0	116	198	89	0
76	ASV76	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	0	0	72	70	99	127	51	0	124	54	124	63	175	91	100	0	196	0	0	86	0	0	75	43
77	ASV77	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1528	0	0
78	ASV78	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	NA	NA	0	0	725	620	0	0	0	58	0	0	0	44	0	0	0	0	0	0	0	0	57	0	0	0
79	ASV79	NA	NA	NA	NA	NA	NA	NA	0	3	24	107	104	86	0	57	143	74	383	272	0	120	0	0	0	13	20	0	27	3	63	0
80	ASV80	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	30	19	13	64	8	11	0	0	105	0	521	54	62	59	529	0	0	17	0	0	0	0
81	ASV81	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	137	150	59	93	83	127	35	40	172	82	32	68	25	0	35	0	16	106	8	9	68	71
82	ASV82	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	NA	1397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83	ASV83	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	76	48	120	51	173	36	86	120	53	31	46	15	54	28	75	0	0	76	0	0	100	195
84	ASV84	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA	1381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
85	ASV85	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	0	0	1117	0	0	0	0	0	0
86	ASV86	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	NA	NA	0	259	0	0	22	0	0	0	18	54	40	0	0	58	0	0	0	50	120	0	220	438	90	0
87	ASV87	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	132	77	33	37	55	125	69	79	1	73	223	0	57	43	216	0	0	101	0	0	41	0
88	ASV88	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	59	55	61	50	63	150	91	67	141	64	82	77	70	55	67	0	18	82	0	0	44	61
89	ASV89	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	0	0	75	81	155	140	19	0	59	50	70	83	34	25	148	102	0	0	53	77	31	42	0	103
90	ASV90	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG-005	NA	0	0	117	102	57	76	46	65	57	73	143	79	147	78	0	0	134	0	0	97	0	0	46	0
91	ASV91	NA	NA	NA	NA	NA	NA	NA	1299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
92	ASV92	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	198	112	0	188	158	442	0	0	31	0	0	0	26	17	0	0	78	26	0	0
93	ASV93	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	p-2534-18B5 gut group	NA	NA	0	0	0	0	46	752	0	0	12	68	110	0	0	63	142	43	0	0	0	0	0	0	33	0
94	ASV94	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Tyzzerella	NA	0	0	0	48	59	41	58	37	98	88	120	0	176	56	63	29	139	0	0	68	0	0	97	72
95	ASV95	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	0	0	108	66	31	54	66	93	0	0	132	69	62	0	78	45	98	0	0	63	0	0	117	165
96	ASV96	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	NA	0	0	0	0	0	0	0	0	0	15	0	0	244	0	474	320	156	0	7	0	0	0	0	17
97	ASV97	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Ruminococcus	NA	0	0	0	7	0	16	0	0	280	357	81	15	111	45	118	93	94	0	0	0	0	0	13	0
98	ASV98	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-004	NA	0	0	18	84	58	21	157	48	100	35	141	106	63	41	25	0	43	0	23	144	0	31	77	0
99	ASV99	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NK4A214 group	NA	0	0	72	76	64	54	30	58	108	87	73	72	217	50	0	0	176	0	0	44	0	0	33	0
100	ASV100	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	NA	NA	0	0	43	116	79	19	0	171	225	28	50	99	63	0	16	2	83	9	52	0	31	23	92	0
101	ASV101	Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Parvibacter	NA	0	0	0	11	9	15	18	0	0	15	46	0	614	25	0	11	385	6	0	0	34	0	0	0
102	ASV102	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	0	0	71	85	61	115	0	37	40	45	114	43	141	0	45	0	141	0	0	86	0	0	72	88
103	ASV103	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotellaceae UCG-003	NA	0	0	25	91	272	145	0	57	21	0	297	30	15	103	0	0	14	0	19	0	30	10	41	0
104	ASV104	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	NA	NA	0	23	33	56	24	24	0	746	0	99	12	0	0	76	0	33	0	0	0	5	17	0	12	4
105	ASV105	NA	NA	NA	NA	NA	NA	NA	0	0	20	0	21	0	0	97	248	76	374	0	0	127	0	0	0	0	41	0	0	0	159	0
106	ASV106	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	UCG-009	NA	0	0	43	49	0	52	32	0	71	44	0	64	46	0	419	192	51	0	19	63	4	0	0	0
107	ASV107	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA	0	0	16	26	25	66	44	50	69	149	93	21	92	40	68	59	84	0	21	50	0	21	55	73
108	ASV108	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	840	252	0	0	0	0	0	0	0	0
109	ASV109	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	11	27	46	41	5	23	22	22	172	37	61	50	221	144	68	0	0	94	0	11	13	17
110	ASV110	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	NA	0	0	12	34	24	89	0	18	23	20	82	32	363	0	8	0	326	0	0	12	0	0	36	0
111	ASV111	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Anaerovoracaceae	Mogibacterium	NA	0	0	44	53	47	77	0	64	36	73	82	0	195	101	84	68	59	0	0	65	22	0	0	0
112	ASV112	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	0	0	89	74	92	72	0	46	94	122	0	49	152	0	0	0	192	0	0	0	0	0	47	0
113	ASV113	NA	NA	NA	NA	NA	NA	NA	0	0	17	39	0	0	0	45	0	0	0	256	0	0	570	91	0	0	0	0	10	0	0	0
114	ASV114	NA	NA	NA	NA	NA	NA	NA	0	4	40	103	83	37	40	32	60	12	81	117	31	32	115	16	30	0	0	70	5	6	100	0
115	ASV115	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA	0	0	54	40	0	23	0	0	36	37	42	23	248	21	45	25	340	0	8	41	0	9	0	12
116	ASV116	Bacteria	Firmicutes	Clostridia	Oscillospirales	[Eubacterium] coprostanoligenes group	NA	NA	0	0	42	82	58	48	73	35	46	45	0	115	62	0	13	25	62	0	0	165	0	0	123	0
117	ASV117	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae RC9 gut group	NA	0	6	160	139	15	38	0	0	56	113	65	30	11	29	0	0	22	0	0	275	0	0	29	0
118	ASV118	NA	NA	NA	NA	NA	NA	NA	0	0	43	40	10	23	0	396	37	88	9	142	16	7	19	5	33	6	10	53	14	10	26	0
119	ASV119	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA	0	0	64	99	123	78	58	9	80	65	14	66	15	10	18	13	18	0	4	76	0	0	159	15
120	ASV120	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA	0	0	162	186	139	116	97	71	57	0	0	50	0	0	0	0	0	0	0	52	0	0	53	0
121	ASV121	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA	0	0	62	69	49	84	0	76	56	56	83	35	98	0	58	0	123	0	0	133	0	0	0	0
